Date,Time,DateTime,Height,Tide_Type,Station_Code,Station_Name,Year
1/1/2022,19:39,1/1/2022 19:39,2.65,高潮 (High Tide),SPW,Shek Pik (石壁),2022
1/1/2022,19:39,1/1/2022 19:39,2.49,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
1/1/2022,19:39,1/1/2022 19:39,2.63,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
1/1/2022,19:43,1/1/2022 19:43,2.6,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
1/1/2022,19:46,1/1/2022 19:46,2.55,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
1/1/2022,19:50,1/1/2022 19:50,2.64,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
1/1/2022,20:02,1/1/2022 20:02,2.74,高潮 (High Tide),TAO,Tai O (大澳),2022
1/1/2022,20:10,1/1/2022 20:10,2.74,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
1/1/2022,20:19,1/1/2022 20:19,2.45,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
1/1/2022,20:26,1/1/2022 20:26,2.99,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
1/1/2022,21:01,1/1/2022 21:01,2.52,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
2/1/2022,2:42,2/1/2022 2:42,0.36,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
2/1/2022,3:01,2/1/2022 3:01,0.39,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
2/1/2022,3:04,2/1/2022 3:04,0.54,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
2/1/2022,3:08,2/1/2022 3:08,0.38,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
2/1/2022,3:12,2/1/2022 3:12,0.33,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
2/1/2022,3:13,2/1/2022 3:13,0.31,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
2/1/2022,3:21,2/1/2022 3:21,0.23,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
2/1/2022,3:28,2/1/2022 3:28,0.45,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
2/1/2022,3:35,2/1/2022 3:35,0.12,低潮 (Low Tide),TAO,Tai O (大澳),2022
2/1/2022,3:36,2/1/2022 3:36,0.29,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
2/1/2022,4:11,2/1/2022 4:11,0.18,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
2/1/2022,5:23,2/1/2022 5:23,0.13,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
2/1/2022,13:30,2/1/2022 13:30,1.39,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
2/1/2022,13:33,2/1/2022 13:33,1.24,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
2/1/2022,13:39,2/1/2022 13:39,1.16,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
2/1/2022,13:46,2/1/2022 13:46,1.26,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
2/1/2022,13:56,2/1/2022 13:56,1.29,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
2/1/2022,14:01,2/1/2022 14:01,1.28,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
2/1/2022,14:09,2/1/2022 14:09,1.27,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
2/1/2022,14:10,2/1/2022 14:10,1.25,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
2/1/2022,14:21,2/1/2022 14:21,1.22,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
2/1/2022,14:37,2/1/2022 14:37,1.25,低潮 (Low Tide),TAO,Tai O (大澳),2022
2/1/2022,14:45,2/1/2022 14:45,1.23,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
2/1/2022,15:38,2/1/2022 15:38,1.19,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
2/1/2022,20:20,2/1/2022 20:20,2.72,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
2/1/2022,20:23,2/1/2022 20:23,2.78,高潮 (High Tide),SPW,Shek Pik (石壁),2022
2/1/2022,20:26,2/1/2022 20:26,2.6,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
2/1/2022,20:26,2/1/2022 20:26,2.75,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
2/1/2022,20:30,2/1/2022 20:30,2.72,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
2/1/2022,20:32,2/1/2022 20:32,2.67,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
2/1/2022,20:34,2/1/2022 20:34,2.77,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
2/1/2022,20:46,2/1/2022 20:46,2.87,高潮 (High Tide),TAO,Tai O (大澳),2022
2/1/2022,20:55,2/1/2022 20:55,2.86,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
2/1/2022,21:11,2/1/2022 21:11,3.11,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
2/1/2022,21:12,2/1/2022 21:12,2.56,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
2/1/2022,21:52,2/1/2022 21:52,2.65,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
3/1/2022,3:33,3/1/2022 3:33,0.23,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
3/1/2022,3:53,3/1/2022 3:53,0.27,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
3/1/2022,4:00,3/1/2022 4:00,0.26,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
3/1/2022,4:00,3/1/2022 4:00,0.42,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
3/1/2022,4:06,3/1/2022 4:06,0.18,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
3/1/2022,4:07,3/1/2022 4:07,0.21,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
3/1/2022,4:13,3/1/2022 4:13,0.1,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
3/1/2022,4:17,3/1/2022 4:17,0.33,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
3/1/2022,4:26,3/1/2022 4:26,-0.02,低潮 (Low Tide),TAO,Tai O (大澳),2022
3/1/2022,4:31,3/1/2022 4:31,0.17,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
3/1/2022,5:04,3/1/2022 5:04,0.05,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
3/1/2022,6:21,3/1/2022 6:21,-0.01,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
3/1/2022,14:14,3/1/2022 14:14,1.4,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
3/1/2022,14:19,3/1/2022 14:19,1.25,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
3/1/2022,14:22,3/1/2022 14:22,1.17,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
3/1/2022,14:33,3/1/2022 14:33,1.27,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
3/1/2022,14:44,3/1/2022 14:44,1.29,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
3/1/2022,14:50,3/1/2022 14:50,1.29,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
3/1/2022,14:57,3/1/2022 14:57,1.26,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
3/1/2022,14:57,3/1/2022 14:57,1.29,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
3/1/2022,15:07,3/1/2022 15:07,1.23,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
3/1/2022,15:26,3/1/2022 15:26,1.26,低潮 (Low Tide),TAO,Tai O (大澳),2022
3/1/2022,15:30,3/1/2022 15:30,1.25,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
3/1/2022,16:14,3/1/2022 16:14,1.21,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
3/1/2022,21:11,3/1/2022 21:11,2.78,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
3/1/2022,21:12,3/1/2022 21:12,2.83,高潮 (High Tide),SPW,Shek Pik (石壁),2022
3/1/2022,21:18,3/1/2022 21:18,2.65,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
3/1/2022,21:19,3/1/2022 21:19,2.77,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
3/1/2022,21:19,3/1/2022 21:19,2.8,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
3/1/2022,21:21,3/1/2022 21:21,2.82,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
3/1/2022,21:22,3/1/2022 21:22,2.72,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
3/1/2022,21:34,3/1/2022 21:34,2.92,高潮 (High Tide),TAO,Tai O (大澳),2022
3/1/2022,21:42,3/1/2022 21:42,2.91,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
3/1/2022,21:58,3/1/2022 21:58,3.12,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
3/1/2022,22:03,3/1/2022 22:03,2.63,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
3/1/2022,22:42,3/1/2022 22:42,2.72,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
4/1/2022,4:22,4/1/2022 4:22,0.2,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
4/1/2022,4:42,4/1/2022 4:42,0.24,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
4/1/2022,4:45,4/1/2022 4:45,0.4,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
4/1/2022,4:51,4/1/2022 4:51,0.23,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
4/1/2022,4:57,4/1/2022 4:57,0.15,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
4/1/2022,5:00,4/1/2022 5:00,0.17,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
4/1/2022,5:03,4/1/2022 5:03,0.06,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
4/1/2022,5:04,4/1/2022 5:04,0.28,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
4/1/2022,5:16,4/1/2022 5:16,-0.05,低潮 (Low Tide),TAO,Tai O (大澳),2022
4/1/2022,5:23,4/1/2022 5:23,0.13,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
4/1/2022,5:54,4/1/2022 5:54,0.02,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
4/1/2022,7:11,4/1/2022 7:11,-0.07,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
4/1/2022,14:59,4/1/2022 14:59,1.39,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
4/1/2022,15:06,4/1/2022 15:06,1.17,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
4/1/2022,15:06,4/1/2022 15:06,1.24,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
4/1/2022,15:21,4/1/2022 15:21,1.27,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
4/1/2022,15:32,4/1/2022 15:32,1.29,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
4/1/2022,15:39,4/1/2022 15:39,1.29,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
4/1/2022,15:44,4/1/2022 15:44,1.26,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
4/1/2022,15:46,4/1/2022 15:46,1.29,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
4/1/2022,15:55,4/1/2022 15:55,1.23,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
4/1/2022,16:15,4/1/2022 16:15,1.27,低潮 (Low Tide),TAO,Tai O (大澳),2022
4/1/2022,16:16,4/1/2022 16:16,1.26,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
4/1/2022,16:54,4/1/2022 16:54,1.22,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
4/1/2022,22:02,4/1/2022 22:02,2.75,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
4/1/2022,22:03,4/1/2022 22:03,2.8,高潮 (High Tide),SPW,Shek Pik (石壁),2022
4/1/2022,22:07,4/1/2022 22:07,2.75,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
4/1/2022,22:09,4/1/2022 22:09,2.79,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
4/1/2022,22:11,4/1/2022 22:11,2.63,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
4/1/2022,22:12,4/1/2022 22:12,2.69,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
4/1/2022,22:12,4/1/2022 22:12,2.79,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
4/1/2022,22:23,4/1/2022 22:23,2.89,高潮 (High Tide),TAO,Tai O (大澳),2022
4/1/2022,22:29,4/1/2022 22:29,2.87,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
4/1/2022,22:47,4/1/2022 22:47,3.05,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
4/1/2022,22:53,4/1/2022 22:53,2.62,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
4/1/2022,23:31,4/1/2022 23:31,2.71,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
5/1/2022,5:08,5/1/2022 5:08,0.25,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
5/1/2022,5:30,5/1/2022 5:30,0.29,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
5/1/2022,5:32,5/1/2022 5:32,0.45,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
5/1/2022,5:39,5/1/2022 5:39,0.28,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
5/1/2022,5:45,5/1/2022 5:45,0.2,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
5/1/2022,5:49,5/1/2022 5:49,0.32,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
5/1/2022,5:50,5/1/2022 5:50,0.22,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
5/1/2022,5:51,5/1/2022 5:51,0.11,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
5/1/2022,6:04,5/1/2022 6:04,0,低潮 (Low Tide),TAO,Tai O (大澳),2022
5/1/2022,6:11,5/1/2022 6:11,0.18,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
5/1/2022,6:41,5/1/2022 6:41,0.06,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
5/1/2022,7:55,5/1/2022 7:55,-0.06,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
5/1/2022,15:46,5/1/2022 15:46,1.4,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
5/1/2022,15:50,5/1/2022 15:50,1.18,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
5/1/2022,15:54,5/1/2022 15:54,1.25,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
5/1/2022,16:09,5/1/2022 16:09,1.27,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
5/1/2022,16:21,5/1/2022 16:21,1.29,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
5/1/2022,16:27,5/1/2022 16:27,1.29,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
5/1/2022,16:31,5/1/2022 16:31,1.26,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
5/1/2022,16:36,5/1/2022 16:36,1.28,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
5/1/2022,16:43,5/1/2022 16:43,1.24,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
5/1/2022,17:04,5/1/2022 17:04,1.26,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
5/1/2022,17:05,5/1/2022 17:05,1.27,低潮 (Low Tide),TAO,Tai O (大澳),2022
5/1/2022,17:41,5/1/2022 17:41,1.23,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
5/1/2022,22:50,5/1/2022 22:50,2.65,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
5/1/2022,22:53,5/1/2022 22:53,2.7,高潮 (High Tide),SPW,Shek Pik (石壁),2022
5/1/2022,22:55,5/1/2022 22:55,2.64,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
5/1/2022,22:55,5/1/2022 22:55,2.68,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
5/1/2022,23:01,5/1/2022 23:01,2.59,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
5/1/2022,23:03,5/1/2022 23:03,2.54,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
5/1/2022,23:04,5/1/2022 23:04,2.69,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
5/1/2022,23:12,5/1/2022 23:12,2.78,高潮 (High Tide),TAO,Tai O (大澳),2022
5/1/2022,23:16,5/1/2022 23:16,2.75,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
5/1/2022,23:36,5/1/2022 23:36,2.91,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
5/1/2022,23:41,5/1/2022 23:41,2.54,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
6/1/2022,0:18,6/1/2022 0:18,2.62,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
6/1/2022,5:53,6/1/2022 5:53,0.36,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
6/1/2022,6:13,6/1/2022 6:13,0.4,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
6/1/2022,6:15,6/1/2022 6:15,0.56,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
6/1/2022,6:24,6/1/2022 6:24,0.39,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
6/1/2022,6:30,6/1/2022 6:30,0.31,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
6/1/2022,6:35,6/1/2022 6:35,0.33,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
6/1/2022,6:36,6/1/2022 6:36,0.23,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
6/1/2022,6:50,6/1/2022 6:50,0.13,低潮 (Low Tide),TAO,Tai O (大澳),2022
6/1/2022,6:56,6/1/2022 6:56,0.29,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
6/1/2022,7:24,6/1/2022 7:24,0.17,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
6/1/2022,8:35,6/1/2022 8:35,0.02,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
6/1/2022,13:30,6/1/2022 13:30,1.53,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
6/1/2022,16:37,6/1/2022 16:37,1.42,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
6/1/2022,16:38,6/1/2022 16:38,1.21,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
6/1/2022,16:43,6/1/2022 16:43,1.27,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
6/1/2022,16:59,6/1/2022 16:59,1.29,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
6/1/2022,17:10,6/1/2022 17:10,1.3,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
6/1/2022,17:15,6/1/2022 17:15,1.3,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
6/1/2022,17:20,6/1/2022 17:20,1.28,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
6/1/2022,17:27,6/1/2022 17:27,1.3,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
6/1/2022,17:34,6/1/2022 17:34,1.26,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
6/1/2022,17:55,6/1/2022 17:55,1.28,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
6/1/2022,17:57,6/1/2022 17:57,1.29,低潮 (Low Tide),TAO,Tai O (大澳),2022
6/1/2022,18:41,6/1/2022 18:41,1.25,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
6/1/2022,23:36,6/1/2022 23:36,2.48,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
6/1/2022,23:41,6/1/2022 23:41,2.51,高潮 (High Tide),MWC,Ma Wan (馬灣),2022
6/1/2022,23:41,6/1/2022 23:41,2.52,高潮 (High Tide),SPW,Shek Pik (石壁),2022
6/1/2022,23:42,6/1/2022 23:42,2.47,高潮 (High Tide),KCT,Kwai Chung (葵涌),2022
6/1/2022,23:49,6/1/2022 23:49,2.43,高潮 (High Tide),QUB,Quarry Bay (?魚涌),2022
6/1/2022,23:53,6/1/2022 23:53,2.38,高潮 (High Tide),TMW,Tai Miu Wan (大廟灣),2022
6/1/2022,23:53,6/1/2022 23:53,2.54,高潮 (High Tide),WAG,Waglan Island (橫瀾島),2022
7/1/2022,0:00,7/1/2022 0:00,2.6,高潮 (High Tide),TAO,Tai O (大澳),2022
7/1/2022,0:03,7/1/2022 0:03,2.57,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
7/1/2022,0:24,7/1/2022 0:24,2.72,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
7/1/2022,0:28,7/1/2022 0:28,2.38,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
7/1/2022,1:05,7/1/2022 1:05,2.47,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
7/1/2022,6:54,7/1/2022 6:54,0.54,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
7/1/2022,6:56,7/1/2022 6:56,0.71,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
7/1/2022,7:04,7/1/2022 7:04,0.54,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
7/1/2022,7:11,7/1/2022 7:11,0.47,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
7/1/2022,7:16,7/1/2022 7:16,0.48,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
7/1/2022,7:19,7/1/2022 7:19,0.39,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
7/1/2022,7:37,7/1/2022 7:37,0.44,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
7/1/2022,13:49,7/1/2022 13:49,1.52,高潮 (High Tide),KLW,Ko Lau Wan (高流灣),2022
7/1/2022,14:25,7/1/2022 14:25,1.57,高潮 (High Tide),TPK,Tai Po Kau (大埔滘),2022
7/1/2022,14:55,7/1/2022 14:55,1.58,高潮 (High Tide),CLK,Chek Lap Kok (赤?角),2022
7/1/2022,15:06,7/1/2022 15:06,1.62,高潮 (High Tide),TAO,Tai O (大澳),2022
7/1/2022,15:24,7/1/2022 15:24,1.72,高潮 (High Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
7/1/2022,17:32,7/1/2022 17:32,1.46,低潮 (Low Tide),WAG,Waglan Island (橫瀾島),2022
7/1/2022,17:33,7/1/2022 17:33,1.26,低潮 (Low Tide),KLW,Ko Lau Wan (高流灣),2022
7/1/2022,17:36,7/1/2022 17:36,1.3,低潮 (Low Tide),TMW,Tai Miu Wan (大廟灣),2022
7/1/2022,17:51,7/1/2022 17:51,1.32,低潮 (Low Tide),QUB,Quarry Bay (?魚涌),2022
7/1/2022,18:02,7/1/2022 18:02,1.33,低潮 (Low Tide),CCH,Cheung Chau (長洲),2022
7/1/2022,18:06,7/1/2022 18:06,1.33,低潮 (Low Tide),KCT,Kwai Chung (葵涌),2022
7/1/2022,18:11,7/1/2022 18:11,1.31,低潮 (Low Tide),MWC,Ma Wan (馬灣),2022
7/1/2022,18:21,7/1/2022 18:21,1.33,低潮 (Low Tide),SPW,Shek Pik (石壁),2022
7/1/2022,18:26,7/1/2022 18:26,1.31,低潮 (Low Tide),TPK,Tai Po Kau (大埔滘),2022
7/1/2022,18:51,7/1/2022 18:51,1.31,低潮 (Low Tide),CLK,Chek Lap Kok (赤?角),2022
7/1/2022,18:53,7/1/2022 18:53,1.32,低潮 (Low Tide),TAO,Tai O (大澳),2022
7/1/2022,19:53,7/1/2022 19:53,1.27,低潮 (Low Tide),TBT,Tsim Bei Tsui (尖鼻咀),2022
8/1/2022,0:20,8/1/2022 0:20,2.26,高潮 (High Tide),CCH,Cheung Chau (長洲),2022
8/1/2022,0:26,8/1/2022 0:26,2.3,高潮 (High Tide),SPW,Shek Pik (石壁),2022
